,tune
90,"[('4', 'Cmaj7'), ('4', 'Dbm7'), ('2', 'Gbm6'), ('4', 'Cmaj7'), ('4', 'Dbm7'), ('2', 'Gbm6'), ('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fm6'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7')]"
91,"[('4', 'Cmaj7'), ('4', 'Dbm7'), ('2', 'Gbm6'), ('4', 'Cmaj7'), ('4', 'Dbm7'), ('2', 'Gbm6'), ('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fm6'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7')]"
92,"[('2', 'Am'), ('2', 'AmM7'), ('2', 'Am7'), ('2', 'Am6'), ('1', 'Em7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('2', 'Am'), ('2', 'AmM7'), ('2', 'Am7'), ('2', 'Am6'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7')]"
93,"[('4', 'Cmaj7'), ('4', 'Dbm7'), ('2', 'Gbm6'), ('4', 'Cmaj7'), ('4', 'Dbm7'), ('2', 'Gbm6'), ('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fm6'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Dbm6'), ('2', 'Dm7'), ('2', 'Abm7')]"
94,"[('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Gb7'), ('2', 'F7'), ('2', 'Em7'), ('2', 'Em7'), ('2', 'Dm7'), ('2', 'Dm7#11')]"
95,"[('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Gb7'), ('2', 'F7'), ('2', 'Em7'), ('2', 'Em7'), ('2', 'Dm7'), ('2', 'Dm7#11')]"
96,"[('1', 'Fmaj7'), ('2', 'Fdim7'), ('2', 'Fmaj7'), ('2', 'Fm6'), ('2', 'E7#9'), ('1', 'Am7'), ('2', 'Bm7b5'), ('2', 'E7b13'), ('1', 'Am7'), ('2', 'Am7b5'), ('2', 'D7b9'), ('2', 'Dm7'), ('2', 'G7')]"
97,"[('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('1', 'Am7'), ('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Gbm7b5'), ('2', 'Fm7'), ('4', 'Em7'), ('4', 'Em7'), ('4', 'Dm7'), ('4', 'Dm7'), ('1', 'Cmaj7')]"
98,"[('1', 'Cm7'), ('2', 'Cm7'), ('2', 'C7b9'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'Cm7'), ('1', 'Bb7sus'), ('2', 'Bb7'), ('2', 'Bb7b9'), ('2', 'Am/Eb'), ('2', 'Ebmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Cm7'), ('2', 'C7b9'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'Dm7b5'), ('2', 'Cm/G'), ('2', 'Am7b5'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
99,"[('1', 'Cm7'), ('2', 'Cm7'), ('2', 'C7b9'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'Cm7'), ('1', 'Bb7sus'), ('2', 'Bb7'), ('2', 'Bb7b9'), ('2', 'Am/Eb'), ('2', 'Ebmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Cm7'), ('2', 'C7b9'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'Dm7b5'), ('2', 'Cm/G'), ('2', 'Am7b5'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
100,"[('1', 'Fm7'), ('1', 'Fm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Am7b5'), ('1', 'D7b9'), ('1', 'G7b9sus'), ('1', 'G7b9')]"
101,"[('1', 'Cm7'), ('2', 'Cm7'), ('2', 'C7b9'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'Cm7'), ('1', 'Bb7sus'), ('2', 'Bb7'), ('2', 'Bb7b9'), ('2', 'Am/Eb'), ('2', 'Ebmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Cm7'), ('2', 'C7b9'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'Dm7b5'), ('2', 'Cm/G'), ('2', 'Am7b5'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
102,"[('1', 'Cm7'), ('2', 'Cm7'), ('2', 'C7b9'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'Cm7'), ('1', 'Bb7sus'), ('2', 'Bb7'), ('2', 'Bb7b9'), ('2', 'Am/Eb'), ('2', 'Ebmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Cm7'), ('2', 'C7b9'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'Dm7b5'), ('2', 'Cm/G'), ('2', 'Am7b5'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
103,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Gbm7'), ('1', 'Gbm7'), ('1', 'Cmaj7'), ('1', 'Am7'), ('1', 'Dm7'), ('1', 'G7')]"
104,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Gbm7'), ('1', 'Gbm7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6'), ('1', 'C6')]"
105,"[('1', 'Bm7'), ('1', 'E7'), ('1', 'Am7'), ('1', 'Am7'), ('1', 'Em7b5'), ('1', 'A7b9'), ('1', 'Dm7'), ('1', 'G7')]"
106,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Gbm7'), ('1', 'Gbm7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6'), ('1', 'C6')]"
107,"[('1', 'Cmaj7'), ('2', 'B7sus'), ('2', 'B7#5'), ('1', 'Bbmaj7'), ('2', 'A7sus'), ('2', 'A7b9'), ('1', 'D7'), ('1', 'G7b9')]"
108,"[('1', 'Cmaj7'), ('2', 'B7sus'), ('2', 'B7#5'), ('1', 'Bbmaj7'), ('2', 'A7sus'), ('2', 'A7b9'), ('1', 'D7'), ('1', 'G7b9')]"
109,"[('1', 'Dm'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('1', 'Am'), ('1', 'Am'), ('2', 'Gbm7b5'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('1', 'G7b9')]"
110,"[('1', 'Cmaj7'), ('2', 'B7sus'), ('2', 'B7#5'), ('1', 'Bbmaj7'), ('2', 'A7sus'), ('2', 'A7b9'), ('1', 'D7'), ('1', 'G7b9'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7b9')]"
111,"[('1', 'Dbm6'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Bm7'), ('2', 'Cmaj7'), ('2', 'A7')]"
112,"[('1', 'Dbm6'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Bm7'), ('2', 'Cmaj7'), ('2', 'A7')]"
113,"[('2', 'Fmaj7'), ('2', 'Abm7'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Fmaj7'), ('2', 'Gbdim7'), ('4', 'Dbmmaj7'), ('4', 'Bm6'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'D7'), ('2', 'Abm7'), ('2', 'Abm7#5')]"
114,"[('1', 'Dbm6'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Bm7'), ('2', 'Cmaj7'), ('2', 'A7'), ('2', 'D7'), ('2', 'Abm7'), ('1', 'Dbm6'), ('2', 'Dm7'), ('2', 'Abm7')]"
115,"[('2', 'Cmaj7'), ('2', 'A7'), ('1', 'D7'), ('1', 'G7'), ('1', 'C6'), ('2', 'Cmaj9/E'), ('2', 'CmM7'), ('2', 'Gmaj7/D'), ('2', 'E7'), ('1', 'D7'), ('1', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'E7'), ('2', 'Gbm'), ('2', 'Gbdim7'), ('2', 'C'), ('2', 'E7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6')]"
116,"[('1', 'Dbm'), ('2', 'B'), ('2', 'Dbm'), ('2', 'B'), ('2', 'Dbm'), ('2', 'B'), ('2', 'Dbm'), ('1', 'Dbm'), ('2', 'E7'), ('2', 'Am7'), ('1', 'Dm7'), ('1', 'G7')]"
117,"[('1', 'Dm7'), ('2', 'A7'), ('2', 'G7'), ('1', 'Dm7'), ('2', 'Gb7'), ('2', 'G7'), ('1', 'G7'), ('2', 'G7'), ('2', 'Gaug'), ('1', 'Dbm'), ('1', 'Dbm')]"
118,"[('1', 'Dbm'), ('2', 'B'), ('2', 'Dbm'), ('2', 'B'), ('2', 'Dbm'), ('2', 'B'), ('2', 'Dbm'), ('1', 'Gm7'), ('1', 'Dbm7'), ('1', 'Gbm'), ('1', 'Gbm')]"
119,"[('1', 'Gbm'), ('1', 'Gbdim7'), ('1', 'Dbm/G'), ('1', 'A7'), ('1', 'D7'), ('1', 'G7'), ('1', 'Dbm'), ('2', 'Dm7'), ('2', 'G7')]"
120,"[('1', 'Dbm'), ('1', 'Dbm6'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('2', 'Dm7'), ('2', 'Abm7sus')]"
121,"[('1', 'Dbm'), ('1', 'Dbm6'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('2', 'Dm7'), ('2', 'Abm7sus')]"
122,"[('1', 'Am7'), ('1', 'Dm7'), ('1', 'Bm7b5'), ('1', 'E7b9'), ('1', 'Am7'), ('1', 'Dm7'), ('1', 'Ab7#11'), ('1', 'Abm7')]"
123,"[('1', 'Dbm'), ('1', 'Dbm6'), ('1', 'E7'), ('1', 'Am7'), ('1', 'Fmaj7'), ('1', 'A7b9'), ('1', 'Dm7'), ('1', 'A7b9'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Dbm6'), ('2', 'Dm7'), ('2', 'Abm7')]"
124,"[('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7#5')]"
125,"[('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7#5')]"
126,"[('2', 'F6'), ('2', 'Gbdim7'), ('2', 'C6/G'), ('2', 'C7'), ('2', 'F6'), ('2', 'Gbdim7'), ('2', 'C6/G'), ('2', 'C7'), ('2', 'F6'), ('2', 'Gbdim7'), ('2', 'C6/G'), ('2', 'A7'), ('4', 'C6/G'), ('4', 'Abdim'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7')]"
127,"[('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7#5'), ('2', 'C6'), ('2', 'A7#9'), ('2', 'Dm7'), ('2', 'G7#5'), ('2', 'C6'), ('2', 'A7#9'), ('2', 'Dm7'), ('2', 'G7')]"
128,"[('2', 'Dbm6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dbm6'), ('2', 'Dbm7/E'), ('2', 'Gbm6'), ('2', 'Gbdim7'), ('2', 'Dbm6/G'), ('2', 'Am7')]"
129,"[('2', 'Dbm6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dbm6'), ('2', 'Dbm7/E'), ('2', 'Gbm6'), ('2', 'Gbdim7'), ('2', 'Dbm6/G'), ('2', 'Am7')]"
130,"[('1', 'E7'), ('1', 'E7'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7'), ('1', 'D7'), ('1', 'G7'), ('1', 'G7')]"
131,"[('2', 'Dbm6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dbm6'), ('2', 'Dbm7/E'), ('2', 'Gbm6'), ('2', 'Gbdim7'), ('2', 'Dbm6/G'), ('2', 'Am7'), ('2', 'G7'), ('2', 'Dbm6')]"
132,"[('1', 'Cmaj7'), ('1', 'Edim7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('1', 'Edim7'), ('1', 'Dm7'), ('1', 'G7')]"
133,"[('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7')]"
134,"[('1', 'Cmaj7'), ('1', 'Edim7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('1', 'Fmaj7')]"
135,"[('1', 'Fmaj7'), ('1', 'Gbdim7'), ('1', 'Cmaj7/G'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'C6'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]"
136,"[('1', 'Fmaj7'), ('2', 'Fm6'), ('2', 'G7'), ('2', 'Em7'), ('2', 'Dm7'), ('2', 'Cmaj7'), ('2', 'C7/Bb'), ('1', 'Fmaj7/A'), ('2', 'Fm6'), ('2', 'G7'), ('2', 'Em7'), ('2', 'Dm7'), ('1', 'C69')]"
137,"[('1', 'Cmaj7/E'), ('1', 'Edim7'), ('2', 'G7/D'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'B7#5'), ('1', 'Ebmaj7/Bb'), ('2', 'Am9#11'), ('2', 'G7')]"
138,"[('1', 'Gbm7b5'), ('2', 'Fm6'), ('2', 'G7'), ('2', 'Em7'), ('2', 'Dm7'), ('2', 'C6'), ('2', 'C7/Bb'), ('1', 'F6/A'), ('2', 'Fm6'), ('2', 'G7'), ('2', 'C69'), ('2', 'Dm7/C'), ('1', 'C69')]"
139,"[('1', 'Gm'), ('4', 'C'), ('4', 'C7/Bb'), ('4', 'A/F'), ('4', 'Fm'), ('1', 'C6/G'), ('1', 'Gbm7b5'), ('1', 'Fmaj7'), ('2', 'Fm6'), ('2', 'G7'), ('2', 'C6'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7')]"
140,"[('2', 'Am7'), ('2', 'Fmaj7'), ('2', 'E7'), ('2', 'Am7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Cmaj7'), ('2', 'Bm7#11'), ('2', 'A7#5'), ('2', 'Dm7b5'), ('4', 'G7'), ('4', 'E7'), ('2', 'Am7'), ('2', 'D7#11'), ('2', 'Ebmaj7'), ('2', 'Abmaj7'), ('1', 'Dm9')]"
141,"[('2', 'Bm7'), ('2', 'Gmaj7'), ('2', 'Gb7'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Dmaj7'), ('2', 'C7#11'), ('2', 'B7#5'), ('2', 'Em7b5'), ('4', 'A7'), ('4', 'Gb7'), ('2', 'Bm7'), ('2', 'E7#11'), ('4', 'Gbm7'), ('4', 'Bm7'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Am7'), ('2', 'D7#11')]"
142,"[('2', 'Gmaj7'), ('2', 'C9'), ('2', 'Bm7'), ('2', 'Bm7'), ('2', 'Abmaj7'), ('2', 'Dm7'), ('2', 'Cm7'), ('2', 'B7'), ('2', 'A7'), ('2', 'D7'), ('2', 'Dbm7'), ('2', 'C7'), ('1', 'Gbm9/B'), ('1', 'E7')]"
143,"[('2', 'Am7'), ('2', 'Fmaj7'), ('2', 'E7'), ('2', 'Am7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Cmaj7'), ('2', 'Bm7#11'), ('2', 'A7#5'), ('2', 'Dm7b5'), ('4', 'G7'), ('4', 'E7'), ('2', 'Am7'), ('2', 'D7#11'), ('4', 'Em7'), ('4', 'Am7'), ('4', 'Dm7'), ('4', 'Gsus'), ('4', 'Em7'), ('4', 'Am7'), ('4', 'Fmaj7'), ('4', 'Bmmaj7'), ('4', 'Em7'), ('4', 'Emmaj7'), ('4', 'Ammaj7'), ('4', 'Dmmaj7'), ('2', 'Cmaj9'), ('4', 'Cmaj7'), ('4', 'Cmaj7')]"
144,"[('2', 'C6'), ('2', 'G7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('1', 'Bm7#11'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7')]"
145,"[('2', 'C6'), ('2', 'G7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('1', 'Bm7#11'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7')]"
146,"[('2', 'Em7'), ('2', 'F7#11'), ('2', 'Em7'), ('2', 'B7sus'), ('2', 'Em7'), ('2', 'B7b9'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Em7#11'), ('2', 'Dm7'), ('2', 'A7sus'), ('2', 'Dm7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7')]"
147,"[('2', 'C6'), ('2', 'G7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('1', 'Bm7#11'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7')]"
148,"[('2', 'Dm7'), ('2', 'Bbm7b13'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Dm7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('2', 'Am7'), ('4', 'Dm7'), ('4', 'Abm7')]"
149,"[('2', 'Dm7'), ('2', 'Bbm7b13'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Dm7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('2', 'Am7'), ('4', 'Dm7'), ('4', 'Abm7')]"
150,"[('2', 'Dbmaj7'), ('2', 'Ebm7'), ('2', 'Dbmaj7'), ('4', 'Gbm7'), ('4', 'B7'), ('4', 'Fm7'), ('4', 'Bbm7'), ('4', 'Ebm7'), ('4', 'Ab7'), ('1', 'Dbmaj7'), ('2', 'Dbm7'), ('2', 'Gb7'), ('2', 'Ebm7'), ('2', 'Ebdim7'), ('2', 'Dbm7'), ('2', 'Gb7'), ('2', 'B7'), ('2', 'Bb7')]"
151,"[('2', 'Dm7'), ('2', 'Bbm7b13'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Dm7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('2', 'Am7'), ('4', 'Dm7'), ('4', 'Abm7'), ('4', 'Dbm6'), ('4', 'Gbm7'), ('4', 'Em7b5'), ('4', 'Bbm7')]"
152,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Edim7'), ('2', 'G7/D'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
153,"[('1', 'E/C'), ('1', 'Edim7'), ('2', 'Dm7'), ('2', 'A7'), ('1', 'Dm7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Am7#11'), ('2', 'G7'), ('2', 'Em7'), ('2', 'Ebm7'), ('2', 'Dm7'), ('2', 'G7')]"
154,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Edim7'), ('2', 'G7/D'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Ebdim7'), ('4', 'C6/E'), ('4', 'C7')]"
155,"[('1', 'Fmaj7'), ('1', 'Bm7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]"
156,"[('1', 'Emaj7'), ('1', 'Bm7#11'), ('1', 'Amaj7'), ('2', 'Abm7b5'), ('2', 'Db7b9'), ('1', 'Dbm7'), ('1', 'Gb7'), ('1', 'Gbm7'), ('1', 'B7')]"
157,"[('1', 'Emaj7'), ('1', 'Bm7#11'), ('1', 'Amaj7'), ('2', 'Abm7b5'), ('2', 'Db7b9'), ('1', 'Dbm7'), ('1', 'Gb7'), ('1', 'Gbm7'), ('1', 'B7')]"
158,"[('1', 'Bm7'), ('1', 'E7'), ('1', 'Amaj7'), ('1', 'Ebm7'), ('1', 'Abm7'), ('1', 'Db7'), ('1', 'Gb7'), ('1', 'B7#5')]"
159,"[('1', 'Emaj7'), ('1', 'Bm7#11'), ('1', 'Amaj7'), ('2', 'Abm7b5'), ('2', 'Db7b9'), ('1', 'Gbm7'), ('1', 'B7'), ('2', 'E6'), ('2', 'Db7'), ('2', 'Gb7'), ('2', 'B7')]"
160,"[('2', 'Em7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'B7'), ('2', 'Cm9'), ('2', 'Cm9'), ('2', 'Am7b5'), ('2', 'D7b9'), ('2', 'Bbmaj7'), ('2', 'Ebmaj7'), ('2', 'Cm7'), ('2', 'D7b9'), ('2', 'Ebm9'), ('2', 'F7'), ('2', 'Gbdim7'), ('2', 'Gm7'), ('2', 'G7#5'), ('2', 'Gb/B'), ('2', 'F7b5'), ('2', 'F7'), ('2', 'Bbm6'), ('2', 'Gbm6'), ('1', 'E6'), ('1', 'Em7'), ('1', 'Am7b9'), ('2', 'Dbm9'), ('2', 'Am7'), ('2', 'G'), ('2', 'B7')]"
161,"[('1', 'Cmaj7'), ('1', 'B7'), ('1', 'Bbmaj7'), ('1', 'Abm')]"
162,"[('1', 'Cm7'), ('1', 'Em7'), ('1', 'Adim7'), ('1', 'Adim7'), ('1', 'Cm7/G'), ('1', 'Cm7/G'), ('1', 'D7b9'), ('1', 'G7b9'), ('1', 'Cm7'), ('1', 'A7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Dm7'), ('2', 'G7'), ('2', 'Abmaj7'), ('1', 'Em/G'), ('1', 'Fm7'), ('1', 'Ebmaj7'), ('1', 'D7b9'), ('1', 'G7b9'), ('1', 'Cm7'), ('1', 'Dbm7b9'), ('1', 'Fm7'), ('2', 'Bm7'), ('2', 'E7'), ('2', 'Ebmaj7'), ('2', 'A7#11'), ('1', 'Am7'), ('1', 'D7#9'), ('1', 'G7b9'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7')]"
163,"[('1', 'Dm7'), ('1', 'G7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Em7b5'), ('1', 'A7'), ('1', 'Fm7')]"
164,"[('1', 'Fm7'), ('1', 'Bm7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7')]"
165,"[('1', 'Dm7'), ('1', 'G7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Em7b5'), ('1', 'A7'), ('1', 'Fm7')]"
166,"[('1', 'Fm7'), ('1', 'Bm7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7')]"
167,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Am7'), ('1', 'Am7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'Am7'), ('1', 'G7')]"
168,"[('1', 'Dm7'), ('1', 'G7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Em7b5'), ('1', 'A7'), ('1', 'Fm7')]"
169,"[('1', 'Fm7'), ('1', 'Bm7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7')]"
170,"[('1', 'Dm7'), ('1', 'G7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Em7b5'), ('1', 'A7'), ('1', 'Fm7')]"
171,"[('1', 'Em7b5'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'C6'), ('2', 'Em7'), ('2', 'A7')]"
172,"[('2', 'Abm7'), ('2', 'Db7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Cm7'), ('1', 'Db7'), ('1', 'Em7'), ('1', 'B7'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Cm7'), ('1', 'Cm7')]"
173,"[('2', 'Abm7'), ('2', 'Db7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Cm7'), ('1', 'Db7'), ('1', 'Em7'), ('1', 'B7'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Cm7'), ('1', 'Cm7')]"
174,"[('1', 'Bbm7'), ('1', 'Em7'), ('1', 'Cm7'), ('1', 'Gbm7'), ('1', 'Dbm7'), ('1', 'Gb7'), ('1', 'Bmaj7'), ('1', 'A7#11'), ('1', 'Abm'), ('1', 'Bb7'), ('2', 'Ebm7'), ('2', 'Ab7'), ('2', 'Em7'), ('2', 'A7')]"
